변환,원자료
2012-10-23,"4,102,100,000,000"
2012-10-24,"5,569,500,000,000"
2012-10-25,"4,769,600,000,000"
2012-10-26,"4,551,200,000,000"
2012-10-29,"4,120,300,000,000"
2012-10-30,"3,388,600,000,000"
2012-10-31,"3,751,500,000,000"
2012-11-01,"5,177,400,000,000"
2012-11-02,"5,086,400,000,000"
2012-11-05,"4,538,200,000,000"
2012-11-06,"4,500,800,000,000"
2012-11-07,"4,579,600,000,000"
2012-11-08,"5,303,700,000,000"
2012-11-09,"4,745,500,000,000"
2012-11-12,"3,735,200,000,000"
2012-11-13,"3,859,300,000,000"
2012-11-14,"4,699,000,000,000"
2012-11-15,"4,137,000,000,000"
2012-11-16,"3,987,600,000,000"
2012-11-19,"3,204,300,000,000"
2012-11-20,"3,662,600,000,000"
2012-11-21,"4,006,700,000,000"
2012-11-22,"3,690,800,000,000"
2012-11-23,"3,536,400,000,000"
2012-11-26,"3,178,100,000,000"
2012-11-27,"4,675,000,000,000"
2012-11-28,"3,835,900,000,000"
2012-11-29,"4,758,700,000,000"
2012-11-30,"4,433,000,000,000"
2012-12-03,"3,112,400,000,000"
2012-12-04,"2,799,300,000,000"
2012-12-05,"3,993,900,000,000"
2012-12-06,"4,598,000,000,000"
2012-12-07,"4,246,000,000,000"
2012-12-10,"3,607,000,000,000"
