변환,USD,주식
2012-05-22,1163.2,4799600000000
2012-05-23,1171,4150000000000
2012-05-24,1177,3481900000000
2012-05-25,1179.6,3485700000000
2012-05-29,1178.7,3698900000000
2012-05-30,1179,3621800000000
2012-05-31,1184.1,4563700000000
2012-06-01,1182,3472700000000
2012-06-04,1182.6,4859600000000
2012-06-05,1176,3475400000000
2012-06-07,1169,4524800000000
2012-06-08,1168,3397700000000
2012-06-11,1165,4408900000000
2012-06-12,1173.5,3587700000000
2012-06-13,1168.4,3735400000000
2012-06-14,1167,4765400000000
2012-06-15,1161.5,4449400000000
2012-06-18,1158,4386800000000
2012-06-19,1160.7,3443500000000
2012-06-20,1153,3635000000000
2012-06-21,1151.5,3736000000000
2012-06-22,1158,4280900000000
2012-06-25,1157,4078300000000
2012-06-26,1162.2,3581400000000
2012-06-27,1158,4232400000000
2012-06-28,1155.5,3090500000000
2012-06-29,1157,4293000000000
2012-07-02,1140.2,3542700000000
2012-07-03,1143.5,4772400000000
2012-07-04,1134.2,4532100000000
2012-07-05,1138.5,3543400000000
2012-07-06,1135.5,3559300000000
2012-07-09,1145,3252300000000
2012-07-10,1142,3314000000000
2012-07-11,1143.1,3285600000000
2012-07-12,1142,4213500000000
2012-07-13,1155,4663000000000
2012-07-16,1147,3186700000000
2012-07-17,1146,4025900000000
2012-07-18,1141.5,4366400000000
2012-07-19,1139.5,4624000000000
2012-07-20,1138.5,3515100000000
2012-07-23,1145.5,3588100000000
2012-07-24,1150,4075000000000
2012-07-25,1150.5,3771800000000
2012-07-26,1147,3766300000000
2012-07-27,1140,4543300000000
2012-07-30,1133,3833300000000
2012-07-31,1136,5535600000000
2012-08-01,1130,3733700000000
2012-08-02,1131,3350400000000
2012-08-03,1135.5,3601800000000
2012-08-06,1125,4127400000000
2012-08-07,1127.5,3465100000000
2012-08-08,1129,5626300000000
2012-08-09,1129.8,6426200000000
2012-08-10,1127.5,4000100000000
2012-08-13,1130.2,3114800000000
2012-08-14,1132,4006000000000
2012-08-16,1133,3972900000000
2012-08-17,1131.3,4449900000000
2012-08-20,1135,3786700000000
2012-08-21,1134.4,3723800000000
2012-08-22,1131,4016200000000
2012-08-23,1132,4133800000000
2012-08-24,1133.4,4419300000000
2012-08-27,1136,5961500000000
2012-08-28,1135.6,4358100000000
2012-08-29,1135,4766800000000
2012-08-30,1135,4847200000000
2012-08-31,1136.5,4394400000000
2012-09-03,1132.5,4176200000000
2012-09-04,1131.5,4512500000000
2012-09-05,1134.5,4622600000000
2012-09-06,1135.5,4167100000000
2012-09-07,1130,5754300000000
2012-09-10,1128,4325800000000
2012-09-11,1129.5,4141500000000
2012-09-12,1127.4,5151000000000
2012-09-13,1126.7,5968700000000
2012-09-14,1122,9187600000000
2012-09-17,1115.5,6502600000000
2012-09-18,1117.3,5032400000000
2012-09-19,1119,5702700000000
2012-09-20,1115,5275700000000
2012-09-21,1119,4904100000000
2012-09-24,1119.5,4188900000000
2012-09-25,1120,4452500000000
2012-09-26,1119.9,4730200000000
2012-09-27,1119.8,4656800000000
2012-09-28,1115,4713100000000
2012-10-02,1113,3603400000000
2012-10-04,1113,4819800000000
2012-10-05,1111.7,4399600000000
2012-10-08,1110.5,4020900000000
2012-10-09,1111.5,3793000000000
2012-10-10,1113.8,4033900000000
2012-10-11,1115.1,4678400000000
2012-10-12,1113.5,3718100000000
2012-10-15,1113.5,4488300000000
2012-10-16,1109,3775300000000
2012-10-17,1104,4143500000000
2012-10-18,1105,4212500000000
2012-10-19,1105.6,4056200000000
2012-10-22,1106,3768000000000
2012-10-23,1101.5,4102100000000
2012-10-24,1106,5569500000000
2012-10-25,1103.4,4769600000000
2012-10-26,1096.5,4551200000000
2012-10-29,1096,4120300000000
2012-10-30,1097.1,3388600000000
2012-10-31,1090.5,3751500000000
2012-11-01,1091,5177400000000
2012-11-02,1092.5,5086400000000
2012-11-05,1093,4538200000000
2012-11-06,1092,4500800000000
2012-11-07,1090.1,4579600000000
2012-11-08,1089.5,5303700000000
2012-11-09,1091,4745500000000
2012-11-12,1089.5,3735200000000
2012-11-13,1089.7,3859300000000
2012-11-14,1089.1,4699000000000
2012-11-15,1087.5,4137000000000
2012-11-16,1087.5,3987600000000
2012-11-19,1088.5,3204300000000
2012-11-20,1085,3662600000000
2012-11-21,1082.2,4006700000000
2012-11-22,1081.5,3690800000000
2012-11-23,1085,3536400000000
2012-11-26,1084.5,3178100000000
2012-11-27,1084.5,4675000000000
2012-11-28,1085.7,3835900000000
2012-11-29,1084.5,4758700000000
2012-11-30,1083.5,4433000000000
2012-12-03,1082.7,3112400000000
2012-12-04,1083.5,2799300000000
2012-12-05,1083,3993900000000
2012-12-06,1083,4598000000000
2012-12-07,1084.2,4246000000000
2012-12-10,1081,3607000000000
2012-12-11,1076,4427100000000
2012-12-12,1074.8,4561100000000
2012-12-13,1072,5893800000000
2012-12-14,1074,4250400000000
2012-12-17,1074,4204100000000
2012-12-18,1071.5,4557600000000
2012-12-20,1072.8,5237800000000
2012-12-21,1074,5167000000000
2012-12-24,1075.1,3245600000000
2012-12-26,1074.2,3473500000000
2012-12-27,1073.5,3015800000000
2012-12-28,1071.3,3188500000000
2013-01-02,1066,4400300000000
2013-01-03,1063,5987800000000
2013-01-04,1064,4676900000000
2013-01-07,1062,3941700000000
2013-01-08,1063.8,3904300000000
2013-01-09,1063.3,3943700000000
2013-01-10,1060.7,4471100000000
2013-01-11,1057.9,4363800000000
2013-01-14,1056,4280400000000
2013-01-15,1055.5,4376300000000
2013-01-16,1057,4227900000000
2013-01-17,1057.5,4031000000000
2013-01-18,1055.5,3830300000000
2013-01-21,1057.5,3751800000000
2013-01-22,1062.8,4180800000000
2013-01-23,1063.5,4125100000000
2013-01-24,1067.5,4449400000000
2013-01-25,1069,4955700000000
2013-01-28,1082,4528800000000
2013-01-29,1089.5,4537600000000
2013-01-30,1081,4207000000000
2013-01-31,1087.5,4366900000000
2013-02-01,1088,3955500000000
2013-02-04,1093,3495500000000
2013-02-05,1090.8,3703500000000
2013-02-06,1085,3599200000000
2013-02-07,1090.9,3510900000000
2013-02-08,1091.5,3960700000000
2013-02-12,1095,2861500000000
2013-02-13,1086,3703300000000
2013-02-14,1086.5,3426800000000
2013-02-15,1082,3219200000000
2013-02-18,1081.8,2874500000000
2013-02-19,1080.6,2756000000000
2013-02-20,1079,4824500000000
2013-02-21,1082.5,3959400000000
2013-02-22,1089.3,3954900000000
2013-02-25,1086.2,3092600000000
2013-02-26,1088.5,3369100000000
2013-02-27,1088,3465700000000
2013-02-28,1082.3,4098500000000
2013-03-04,1088,4142200000000
2013-03-05,1090.5,3726200000000
2013-03-06,1085,4044400000000
2013-03-07,1086.3,3639600000000
2013-03-08,1085.5,3514900000000
2013-03-11,1095.5,3759800000000
2013-03-12,1097,3281300000000
2013-03-13,1097,3420400000000
2013-03-14,1102.5,3971500000000
2013-03-15,1109,5211500000000
2013-03-18,1112,3906100000000
2013-03-19,1112.4,3646200000000
2013-03-20,1115.5,3727700000000
2013-03-21,1115,3592300000000
2013-03-22,1115.5,3302800000000
2013-03-25,1115,3407700000000
2013-03-26,1111,3423400000000
2013-03-27,1106.2,3793600000000
2013-03-28,1111,3394100000000
2013-03-29,1113.5,3444700000000
2013-04-01,1114,2577900000000
2013-04-02,1113,4392200000000
2013-04-03,1122,4345100000000
2013-04-04,1123,4640600000000
2013-04-05,1125,4850900000000
2013-04-08,1134,3882200000000
2013-04-09,1144,3816700000000
